District,Year,Hectares,Production_MT
Barguna,2018-19,379.0,0.0
Barguna,2019-20,218.0,218.0
Barishal,2018-19,248.0,0.0
Barishal,2019-20,224.0,224.0
Bhola,2018-19,100.0,0.0
Bhola,2019-20,287.0,287.0
Jhalokathi,2018-19,2030.0,0.0
Jhalokathi,2019-20,2154.0,2154.0
Patuakhali,2018-19,304.0,0.0
Patuakhali,2019-20,184.0,184.0
Pirojpur,2018-19,95.0,0.0
Pirojpur,2019-20,92.0,92.0
Barishal Division,2018-19,3846.0,0.0
Barishal Division,2019-20,3159.0,3159.0
Bandarban,2018-19,39.0,3.0
Bandarban,2019-20,68.0,72.0
Brahmanbaria,2018-19,118.0,0.0
Brahmanbaria,2019-20,85.0,85.0
Chandpur,2018-19,216.0,0.0
Chandpur,2019-20,103.0,103.0
Chattogram,2018-19,563.0,6.0
Chattogram,2019-20,300.0,305.0
Cumilla,2018-19,135.0,2.0
Cumilla,2019-20,233.0,233.0
Cox’s Bazar,2018-19,190.0,0.0
Cox’s Bazar,2019-20,42.0,42.0
Feni,2018-19,110.0,0.0
Feni,2019-20,65.0,65.0
Khagrachhari,2018-19,294.0,0.0
Khagrachhari,2019-20,36.0,36.0
Lakshmipur,2018-19,82.0,0.0
Lakshmipur,2019-20,117.0,117.0
Noakhali,2018-19,381.0,0.0
Noakhali,2019-20,56.0,56.0
Rangamati,2018-19,197.0,0.0
Rangamati,2019-20,570.0,570.0
"Chattogram
Division",2018-19,3047.0,11.0
"Chattogram
Division",2019-20,1675.0,1684.0
Dhaka,2018-19,45.0,4.0
Dhaka,2019-20,123.0,123.0
Faridpur,2018-19,15.0,0.0
Faridpur,2019-20,215.0,215.0
Gazipur,2018-19,95.0,0.0
Gazipur,2019-20,139.0,139.0
Gopalganj,2018-19,69.0,8.0
Gopalganj,2019-20,258.0,258.0
Kishoreganj,2018-19,128.0,0.0
Kishoreganj,2019-20,370.0,370.0
Madaripur,2018-19,76.0,0.0
Madaripur,2019-20,141.0,141.0
Manikganj,2018-19,32.0,0.0
Manikganj,2019-20,63.0,63.0
Munshiganj,2018-19,6.0,0.0
Munshiganj,2019-20,31.0,31.0
Narayanganj,2018-19,10.0,0.0
Narayanganj,2019-20,11.0,11.0
Narsingdi,2018-19,49.0,0.0
Narsingdi,2019-20,185.0,188.0
Rajbari,2018-19,27.0,0.0
Rajbari,2019-20,103.0,103.0
Shariatpur,2018-19,15.0,0.0
Shariatpur,2019-20,175.0,175.0
Tangail,2018-19,225.0,0.0
Tangail,2019-20,504.0,504.0
Dhaka Division,2018-19,3776.0,12.0
Dhaka Division,2019-20,2318.0,2321.0
Bagerhat,2018-19,15.0,0.0
Bagerhat,2019-20,83.0,83.0
Chuadanga,2018-19,123.0,0.0
Chuadanga,2019-20,285.0,285.0
Jessore,2018-19,202.0,0.0
Jessore,2019-20,386.0,386.0
Jhenaidah,2018-19,35.0,0.0
Jhenaidah,2019-20,128.0,128.0
Khulna,2018-19,35.0,0.0
Khulna,2019-20,92.0,92.0
Kushtia,2018-19,29.0,0.0
Kushtia,2019-20,184.0,184.0
Magura,2018-19,47.0,0.0
Magura,2019-20,256.0,256.0
Meherpur,2018-19,44.0,0.0
Meherpur,2019-20,90.0,90.0
Narail,2018-19,163.0,0.0
Narail,2019-20,359.0,359.0
Satkhira,2018-19,149.0,0.0
Satkhira,2019-20,96.0,96.0
Khulna Division,2018-19,2358.0,0.0
