District,Year,Hectares,Production_MT
Barguna,2016-17,3.0,0.0
Barguna,2017-18,19.0,19.0
Barishal,2016-17,25.0,0.0
Barishal,2017-18,79.0,79.0
Bhola,2016-17,2.0,0.0
Jhalokathi,2016-17,10.0,4.0
Jhalokathi,2017-18,7.0,9.0
Patuakhali,2016-17,16.0,0.0
Patuakhali,2017-18,52.0,52.0
Pirojpur,2016-17,16.0,0.0
Pirojpur,2017-18,51.0,51.0
Barishal,2016-17,72.0,4.0
Barishal,2017-18,208.0,210.0
Bandarban,2016-17,2.0,18.0
Bandarban,2017-18,20.0,20.0
Brahmanbaria,2016-17,0.0,0.0
Brahmanbaria,2017-18,3.0,3.0
Chandpur,2016-17,0.0,0.0
Chandpur,2017-18,0.0,0.0
Chattogram,2016-17,2.0,0.0
Cumilla,2016-17,2.0,0.0
Cumilla,2017-18,14.0,21.0
Cox's Bazar,2016-17,0.0,0.0
Cox's Bazar,2017-18,0.0,0.0
Feni,2016-17,0.0,0.0
Feni,2017-18,0.0,0.0
Khagrachhari,2016-17,25.0,32.0
Khagrachhari,2017-18,50.0,69.0
Lakshmipur,2016-17,0.0,0.0
Lakshmipur,2017-18,0.0,0.0
Noakhali,2016-17,0.0,0.0
Noakhali,2017-18,0.0,0.0
Rangamati,2016-17,14.0,0.0
Rangamati,2017-18,36.0,36.0
Chattogram,2016-17,45.0,50.0
Chattogram,2017-18,123.0,149.0
Dhaka,2016-17,0.0,0.0
Faridpur,2016-17,0.0,0.0
Faridpur,2017-18,1.0,1.0
Gazipur,2016-17,2.0,0.0
Gazipur,2017-18,5.0,5.0
Gopalganj,2016-17,1.0,0.0
Gopalganj,2017-18,0.0,0.0
Kishoreganj,2016-17,5.0,0.0
Kishoreganj,2017-18,46.0,46.0
Madaripur,2016-17,0.0,0.0
Madaripur,2017-18,0.0,0.0
Manikganj,2016-17,0.0,0.0
Manikganj,2017-18,0.0,0.0
Munshiganj,2016-17,0.0,0.0
Munshiganj,2017-18,0.0,0.0
Narayanganj,2016-17,0.0,0.0
Narayanganj,2017-18,0.0,0.0
Narsingdi,2016-17,0.0,0.0
Narsingdi,2017-18,1.0,1.0
Rajbari,2016-17,0.0,0.0
Rajbari,2017-18,0.0,0.0
Shariatpur,2016-17,0.0,0.0
Shariatpur,2017-18,0.0,0.0
Tangail,2016-17,0.0,0.0
Tangail,2017-18,16.0,16.0
Dhaka,2016-17,9.0,0.0
Dhaka,2017-18,69.0,69.0
Bagerhat,2016-17,2.0,0.0
Bagerhat,2017-18,4.0,4.0
Chuadanga,2016-17,0.0,0.0
Jessore,2016-17,0.0,0.0
Jessore,2017-18,20.0,20.0
Jhenaidah,2016-17,4.0,0.0
Jhenaidah,2017-18,3.0,3.0
Khulna,2016-17,6.0,0.0
Khulna,2017-18,4.0,4.0
Kushtia,2016-17,0.0,0.0
Magura,2016-17,0.0,0.0
Magura,2017-18,31.0,31.0
Meherpur,2016-17,0.0,0.0
Narail,2016-17,0.0,0.0
Narail,2017-18,64.0,64.0
Satkhira,2016-17,0.0,0.0
Satkhira,2017-18,4.0,4.0
Khulna,2016-17,0.0,0.0
Khulna,2017-18,130.0,130.0
Jamalpur,2016-17,0.0,0.0
Jamalpur,2017-18,8.0,8.0
Mymensingh,2016-17,0.0,0.0
Mymensingh,2017-18,24.0,24.0
Netrokona,2016-17,0.0,0.0
Netrokona,2017-18,8.0,8.0
Sherpur,2016-17,0.0,0.0
Sherpur,2017-18,0.0,0.0
Mymensingh,2016-17,0.0,0.0
Mymensingh,2017-18,40.0,40.0
Bogura,2016-17,0.0,6.0
Bogura,2017-18,19.0,23.0
Joypurhat,2016-17,0.0,0.0
Joypurhat,2017-18,5.0,5.0
Naogaon,2016-17,0.0,0.0
Natore,2016-17,0.0,0.0
Chapai Nawabganj,2016-17,0.0,0.0
Pabna,2016-17,0.0,0.0
Rajshahi,2016-17,0.0,0.0
Sirajganj,2016-17,0.0,0.0
Sirajganj,2017-18,3.0,3.0
Rajshahi,2016-17,0.0,6.0
Rajshahi,2017-18,27.0,31.0
Dinajpur,2016-17,2.0,5.0
Dinajpur,2017-18,53.0,58.0
Gaibandha,2016-17,0.0,0.0
Gaibandha,2017-18,5.0,5.0
Kurigram,2016-17,0.0,0.0
Kurigram,2017-18,35.0,35.0
Lalmonirhat,2016-17,0.0,0.0
Lalmonirhat,2017-18,51.0,51.0
Nilphamari,2016-17,13.0,68.0
Nilphamari,2017-18,75.0,135.0
Panchagarh,2016-17,44.0,104.0
Panchagarh,2017-18,39.0,140.0
Rangpur,2016-17,15.0,0.0
Rangpur,2017-18,18.0,18.0
Thakurgaon,2016-17,0.0,0.0
Thakurgaon,2017-18,12.0,12.0
Rangpur,2016-17,74.0,177.0
Rangpur,2017-18,288.0,454.0
Habiganj,2016-17,0.0,0.0
Habiganj,2017-18,0.0,0.0
Maulvibazar,2016-17,0.0,0.0
Maulvibazar,2017-18,360.0,360.0
Sunamganj,2016-17,0.0,0.0
Sunamganj,2017-18,0.0,0.0
Sylhet,2016-17,29.0,0.0
Sylhet,2017-18,65.0,107.0
Sylhet,2016-17,29.0,49.0
Sylhet,2017-18,425.0,467.0
Bangladesh,2016-17,156.0,286.0
Bangladesh,2017-18,1310.0,1550.0
