District,Year,Hectares,Production_MT
Bhola,2020-21,7583.0,963.0
Jhallokati,2020-21,1893.0,296.0
Patuakhali,2020-21,309.0,73.0
Pirojpur,2020-21,2979.0,336.0
Barishal Division,2020-21,19629.0,3068.0
Bandarban,2020-21,896.0,219.0
Brahmanbaria,2020-21,154.0,44.0
Chandpur,2020-21,10214.0,1398.55
Chattogram,2020-21,19153.0,1855.86
Cumilla,2020-21,5614.0,882.0
Cox’s Bazar,2020-21,4250.0,492.91
Feni,2020-21,2621.0,210.2
Khagrachari,2020-21,5686.0,647.65
Lakshmipur,2020-21,3753.0,323.4
Noakhali,2020-21,963.0,212.13
Rangamati,2020-21,7399.0,525.3
Chattogram Division,2020-21,60703.0,6811.0
Dhaka,2020-21,899.0,135.13
Faridpur,2020-21,103193.0,6273.0
Gazipur,2020-21,24569.0,2962.9
Gopalganj,2020-21,14802.0,652.4
Kishoreganj,2020-21,1930.0,47.47
Madaripur,2020-21,17202.0,1033.4
Manikganj,2020-21,19643.0,3798.13
Munshiganj,2020-21,2527.0,487.6
Narayanganj,2020-21,664.0,119.55
Narsingdi,2020-21,1596.0,137.86
Rajbari,2020-21,39160.0,2632.0
Shariatpur,2020-21,11612.0,1034.0
Tangail,2020-21,51066.0,2869.25
Dhaka Division,2020-21,288863.0,22182.69
Bagerhat,2020-21,14454.0,582.0
Chuadanga,2020-21,117087.0,4800.0
Jashore,2020-21,15800.0,882.0
Jhenaidah,2020-21,58898.0,2448.0
Khulna,2020-21,1490.0,88.0
Kushtia,2020-21,168757.0,8428.0
Magura,2020-21,3138.0,243.0
Meherpur,2020-21,13062.0,714.0
Narail,2020-21,25966.0,1705.0
Satkhira,2020-21,4910.0,278.0
Khulna Division,2020-21,423562.0,20168.0
Jamalpur,2020-21,232932.0,10187.0
Mymensingh,2020-21,84381.0,5176.0
Netrokona,2020-21,851.0,47.0
Sherpur,2020-21,5079.0,241.0
Mymensingh Division,2020-21,323243.0,15651.0
Bogura,2020-21,6169.04,283.83
Joypurhat,2020-21,46993.0,2223.13
Naogaon,2020-21,20799.0,818.5
Natore,2020-21,1184233.0,52293.7
Chapai Nawabganj,2020-21,59997.0,3413.0
Pabna,2020-21,156497.0,7951.0
Rajshahi,2020-21,472220.0,13565.35
Sirajganj,2020-21,39580.0,2188.46
Rajshahi Division,2020-21,1986488.04,82736.97
Dinajpur,2020-21,60476.0,3662.0
Gaibandha,2020-21,154035.0,5454.0
Kurigram,2020-21,10284.0,699.6
Lalmonirhat,2020-21,3962.0,290.5
Nilphamari,2020-21,7958.0,285.7
Panchagar,2020-21,76774.0,3614.0
Rangpur,2020-21,106350.0,959.0
Tahkurgaon,2020-21,150266.0,10371.22
Rangpur Division,2020-21,570105.0,25336.02
Habigonj,2020-21,7108.0,2297.5
Moulvibazar,2020-21,90.0,106.75
Sunamganj,2020-21,3022.0,181.0
Sylhet,2020-21,138.0,22.5
Sylhet Division,2020-21,10358.0,2607.75
Bhola,2022-23,7351.0,967.0
Jhallokati,2022-23,3189.0,305.0
Patuakhali,2022-23,320.0,70.0
Pirojpur,2022-23,2361.0,328.0
Bandarban,2022-23,904.7,221.1
Brahmanbaria,2022-23,196.59,42.0
Chandpur,2022-23,15363.57,1337.02
Chattogram,2022-23,16782.03,1847.59
Cumilla,2022-23,5449.0,908.95
Cox’s Bazar,2022-23,2943.13,477.72
Feni,2022-23,2631.93,186.5
Khagrachari,2022-23,5845.93,654.43
Lakshmipur,2022-23,3957.0,321.0
Noakhali,2022-23,2316.86,218.37
Rangamati,2022-23,7535.15,513.62
Dhaka,2022-23,1250.07,121.23
Faridpur,2022-23,89497.33,6007.3
Gazipur,2022-23,25390.74,2792.73
Gopalganj,2022-23,9482.04,618.4
Kishoreganj,2022-23,509.23,48.38
Madaripur,2022-23,19359.42,1020.43
Manikganj,2022-23,76072.1,3047.0
Munshiganj,2022-23,6266.35,494.5
Narayanganj,2022-23,634.8,121.56
Narsingdi,2022-23,1631.15,147.91
Rajbari,2022-23,47600.0,2339.0
Shariatpur,2022-23,14965.0,920.0
Tangail,2022-23,48887.92,2830.49
Bagerhat,2022-23,6022.0,597.5
Chuadanga,2022-23,109175.0,4783.0
Jashore,2022-23,16417.0,824.54
Jhenaidah,2022-23,54215.0,2677.0
Khulna,2022-23,1130.0,90.75
Kushtia,2022-23,164507.0,7080.0
Magura,2022-23,3140.0,249.82
Meherpur,2022-23,14227.0,381.0
Narail,2022-23,26860.0,1737.0
Satkhira,2022-23,5648.0,275.89
Jamalpur,2022-23,213308.0,9764.0
Mymensingh,2022-23,80881.0,5197.0
Netrokona,2022-23,607.0,60.0
Sherpur,2022-23,5215.0,230.0
Bogura,2022-23,6404.65,238.28
Joypurhat,2022-23,44076.5,2233.56
Naogaon,2022-23,16758.35,581.73
Natore,2022-23,965173.35,51506.13
Chapai Nawabganj,2022-23,59031.61,3550.02
Pabna,2022-23,151338.0,7675.0
Rajshahi,2022-23,251000.62,12271.34
Sirajganj,2022-23,38557.88,1287.97
Dinajpur,2022-23,49805.0,2521.0
Gaibandha,2022-23,115951.0,5360.0
Kurigram,2022-23,9809.21,630.0
Lalmonirhat,2022-23,3843.82,295.4
Nilphamari,2022-23,6022.89,278.0
Panchagar,2022-23,40736.5,1342.0
Rangpur,2022-23,20914.0,946.0
Tahkurgaon,2022-23,138925.6,10263.0
Habigonj,2022-23,36796.72,2073.55
Moulvibazar,2022-23,661.03,91.43
Sunamganj,2022-23,3190.0,184.0
Sylhet,2022-23,141.7,25.2
