District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,270.8
Jhalokathi,2018-19,0.0,34.0
Patuakhali,2018-19,0.0,81.0
Pirojpur,2018-19,0.0,61.0
Barishal Division,2018-19,0.0,751.8
Bandarban,2018-19,0.0,11.0
Brahmanbaria,2018-19,0.0,184.0
Chandpur,2018-19,0.0,124.2
Chattogram,2018-19,0.0,61.0
Cumilla,2018-19,0.0,760.0
Cox’s Bazar,2018-19,0.0,0.0
Feni,2018-19,0.0,6.0
Khagrachhari,2018-19,0.0,84.0
Lakshmipur,2018-19,0.0,0.0
Noakhali,2018-19,0.0,31.0
Rangamati,2018-19,0.0,13.0
Chattogram Division,2018-19,0.0,1274.2
Dhaka,2018-19,0.0,595.1
Faridpur,2018-19,0.0,244.0
Gazipur,2018-19,0.0,125.0
Gopalganj,2018-19,0.0,518.0
Kishoreganj,2018-19,0.0,97.0
Madaripur,2018-19,0.0,379.0
Manikganj,2018-19,0.0,659.0
Munshiganj,2018-19,0.0,511.0
Narayanganj,2018-19,0.0,171.0
Narsingdi,2018-19,0.0,1044.0
Rajbari,2018-19,0.0,552.0
Shariatpur,2018-19,0.0,299.0
Tangail,2018-19,0.0,735.0
Dhaka Division,2018-19,0.0,5929.1
Bagerhat,2018-19,0.0,123.0
Chuadanga,2018-19,0.0,328.0
Jessore,2018-19,0.0,798.0
Jhenaidah,2018-19,0.0,400.0
Khulna,2018-19,0.0,222.0
Kushtia,2018-19,0.0,324.0
Magura,2018-19,0.0,43.0
Meherpur,2018-19,0.0,82.0
Narail,2018-19,0.0,359.0
Satkhira,2018-19,0.0,359.44
Khulna Division,2018-19,0.0,3038.44
Jamalpur,2018-19,0.0,308.0
Mymensinghh,2018-19,0.0,460.0
Netrokona,2018-19,0.0,168.0
Sherpur,2018-19,0.0,198.0
Mymensinghh Division,2018-19,0.0,1134.0
Bogura,2018-19,0.0,55.0
Joypurhat,2018-19,0.0,48.8
Naogaon,2018-19,0.0,197.0
Natore,2018-19,0.0,262.0
Chapai Nawabganj,2018-19,0.0,148.0
Pabna,2018-19,0.0,94.0
Rajshahi,2018-19,0.0,150.0
Sirajganj,2018-19,0.0,149.0
Rajshahi Division,2018-19,0.0,1103.8
Dinajpur,2018-19,0.0,97.0
Gaibandha,2018-19,0.0,129.0
Kurigram,2018-19,0.0,190.0
Lalmonirhat,2018-19,0.0,78.0
Nilphamari,2018-19,0.0,33.0
Panchagarh,2018-19,0.0,227.0
Rangpur,2018-19,0.0,78.0
Thakurgaon,2018-19,0.0,184.0
Rangpur Divison,2018-19,0.0,1016.0
Habiganj,2018-19,0.0,0.0
Maulvibazar,2018-19,0.0,50.0
Sunamganj,2018-19,0.0,55.0
Sylhet,2018-19,0.0,67.0
Sylhet Division,2018-19,0.0,172.0
Bhola,2020-21,351.83,248.0
Jhalokathi,2020-21,48.0,35.0
Patuakhali,2020-21,130.0,91.0
Pirojpur,2020-21,69.0,78.0
Barishal Division,2020-21,1049.83,962.0
Bandarban,2020-21,18.0,10.3
Brahmanbaria,2020-21,452.0,180.75
Chandpur,2020-21,99.36,116.3
Chattogram,2020-21,137.0,64.87
Cumilla,2020-21,1830.0,750.0
Cox’s Bazar,2020-21,0.0,0.0
Feni,2020-21,8.0,5.95
Khagrachhari,2020-21,97.0,85.07
Lakshmipur,2020-21,0.0,0.0
Noakhali,2020-21,28.0,14.1
Rangamati,2020-21,21.0,85.0
Chattogram Division,2020-21,2690.36,1312.34
Dhaka,2020-21,850.65,472.92
Faridpur,2020-21,343.0,250.5
Gazipur,2020-21,128.0,101.38
Gopalganj,2020-21,1494.0,550.0
Kishoreganj,2020-21,203.0,96.29
Madaripur,2020-21,738.0,382.93
Manikganj,2020-21,1545.0,670.78
Munshiganj,2020-21,998.0,523.1
Narayanganj,2020-21,266.0,260.24
Narsingdi,2020-21,1608.0,1045.24
Rajbari,2020-21,1026.0,540.0
Shariatpur,2020-21,472.0,343.0
Tangail,2020-21,1555.0,736.04
Dhaka Division,2020-21,11226.65,5972.42
Bagerhat,2020-21,143.0,217.3
Chuadanga,2020-21,598.0,322.5
Jessore,2020-21,2116.0,781.75
Jhenaidah,2020-21,910.0,402.5
Khulna,2020-21,374.0,242.08
Kushtia,2020-21,600.0,301.0
Magura,2020-21,91.0,151.15
Meherpur,2020-21,167.0,80.0
Narail,2020-21,1060.0,373.0
Satkhira,2020-21,914.69,276.38
Khulna Division,2020-21,6973.69,3147.66
Jamalpur,2020-21,612.0,279.0
Mymensinghh,2020-21,702.0,601.0
Netrokona,2020-21,331.0,178.0
Sherpur,2020-21,551.0,205.0
Mymensinghh Division,2020-21,2196.0,1263.0
Bogura,2020-21,116.0,73.77
Joypurhat,2020-21,91.38,53.49
Naogaon,2020-21,372.0,211.52
Natore,2020-21,419.0,307.15
Chapai Nawabganj,2020-21,309.0,169.0
Pabna,2020-21,269.0,117.0
Rajshahi,2020-21,282.0,192.6
Sirajganj,2020-21,184.0,168.58
Rajshahi Division,2020-21,2042.38,1293.11
Dinajpur,2020-21,155.0,64.0
Gaibandha,2020-21,169.0,128.0
Kurigram,2020-21,163.0,192.4
Lalmonirhat,2020-21,225.0,78.05
Nilphamari,2020-21,54.0,35.5
Panchagarh,2020-21,432.0,249.0
Rangpur,2020-21,65.0,122.0
Thakurgaon,2020-21,366.0,230.34
Rangpur Divison,2020-21,1629.0,1099.29
Habiganj,2020-21,0.0,0.0
Maulvibazar,2020-21,205.0,8.15
Sunamganj,2020-21,63.0,57.0
Sylhet,2020-21,62.0,110.4
Sylhet Division,2020-21,330.0,175.55
Bhola,2022-23,323.0,289.0
Jhalokathi,2022-23,49.0,0.0
Patuakhali,2022-23,131.0,111.0
Pirojpur,2022-23,112.0,83.0
Bandarban,2022-23,16.0,10.7
Brahmanbaria,2022-23,472.28,251.35
Chandpur,2022-23,177.6,112.93
Chattogram,2022-23,138.53,64.32
Cumilla,2022-23,1820.0,764.1
Cox’s Bazar,2022-23,0.0,0.0
Feni,2022-23,8.15,7.2
Khagrachhari,2022-23,91.75,96.0
Lakshmipur,2022-23,0.0,0.0
Noakhali,2022-23,25.2,13.9
Rangamati,2022-23,75.04,86.1
Dhaka,2022-23,1242.74,468.22
Faridpur,2022-23,355.46,275.6
Gazipur,2022-23,127.02,133.38
Gopalganj,2022-23,1858.64,568.99
Kishoreganj,2022-23,187.92,97.21
Madaripur,2022-23,836.0,370.99
Manikganj,2022-23,1266.67,694.68
Munshiganj,2022-23,1220.69,536.0
Narayanganj,2022-23,390.27,251.82
Narsingdi,2022-23,1593.69,1060.5
Rajbari,2022-23,1295.0,587.0
Shariatpur,2022-23,766.0,338.0
Tangail,2022-23,1753.07,740.89
Bagerhat,2022-23,627.35,279.0
Chuadanga,2022-23,605.19,314.0
Jessore,2022-23,2078.94,759.0
Jhenaidah,2022-23,916.86,418.0
Khulna,2022-23,392.95,238.0
Kushtia,2022-23,654.0,228.0
Magura,2022-23,459.92,143.0
Meherpur,2022-23,204.08,86.0
Narail,2022-23,1285.3,395.0
Satkhira,2022-23,486.34,372.0
Jamalpur,2022-23,588.0,295.0
Mymensinghh,2022-23,1049.0,606.0
Netrokona,2022-23,382.0,189.0
Sherpur,2022-23,563.0,192.0
Bogura,2022-23,177.96,66.38
Joypurhat,2022-23,100.0,57.62
Naogaon,2022-23,408.88,628.21
Natore,2022-23,547.22,319.15
Chapai Nawabganj,2022-23,352.6,186.82
Pabna,2022-23,326.0,141.0
Rajshahi,2022-23,452.74,156.35
Sirajganj,2022-23,222.0,172.51
Dinajpur,2022-23,133.42,235.0
Gaibandha,2022-23,220.0,135.0
Kurigram,2022-23,266.93,216.0
Lalmonirhat,2022-23,224.27,76.0
Nilphamari,2022-23,64.96,35.1
Panchagarh,2022-23,328.74,245.0
Rangpur,2022-23,188.0,139.0
Thakurgaon,2022-23,484.7,221.0
Habiganj,2022-23,0.0,24.48
Maulvibazar,2022-23,10.05,35.45
Sunamganj,2022-23,61.0,59.0
Sylhet,2022-23,137.5,62.3
