District,Year,Hectares,Production_MT
Bhola,2018-19,46799.0,8510.0
Jhalokathi,2018-19,235.0,84.0
Patuakhali,2018-19,2637.0,1098.0
Pirojpur,2018-19,13310.0,855.0
Barishal Division,2018-19,67681.0,12257.0
Bandarban,2018-19,436.0,111.0
Brahmanbaria,2018-19,779.0,27.0
Chandpur,2018-19,28.0,22.0
Chattogram,2018-19,4793.0,996.0
Cumilla,2018-19,330.0,83.0
Cox’s Bazar,2018-19,16430.0,1822.0
Feni,2018-19,126.0,41.0
Khagrachhari,2018-19,660.0,163.0
Lakshmipur,2018-19,3298.0,185.0
Noakhali,2018-19,30421.0,3499.0
Rangamati,2018-19,3371.0,730.0
Chattogram Division,2018-19,60672.0,7679.0
Dhaka,2018-19,41.0,15.0
Faridpur,2018-19,669.0,85.0
Gazipur,2018-19,31.0,7.0
Gopalganj,2018-19,9625.0,752.0
Kishoreganj,2018-19,153.0,25.0
Madaripur,2018-19,151.0,17.0
Manikganj,2018-19,0.0,0.0
Munshiganj,2018-19,50.0,16.0
Narayanganj,2018-19,474.0,88.0
Narsingdi,2018-19,0.0,0.0
Rajbari,2018-19,609.0,95.0
Shariatpur,2018-19,0.0,0.0
Tangail,2018-19,0.0,4.0
Dhaka Division,2018-19,11803.0,1104.0
Bagerhat,2018-19,3127.0,268.0
Chuadanga,2018-19,449.0,1197.0
Jessore,2018-19,331.0,48.0
Jhenaidah,2018-19,354.0,56.0
Khulna,2018-19,52516.0,4515.0
Kushtia,2018-19,128.0,26.0
Magura,2018-19,0.0,6.0
Meherpur,2018-19,366.0,50.0
Narail,2018-19,227.0,43.0
Satkhira,2018-19,0.0,139.0
Khulna Division,2018-19,57498.0,6348.0
Jamalpur,2018-19,632.0,95.0
Mymensinghh,2018-19,157.0,41.0
Netrokona,2018-19,398.0,65.0
Sherpur,2018-19,396.0,67.0
Mymensinghh Division,2018-19,1583.0,268.0
Bogura,2018-19,72.0,10.0
Joypurhat,2018-19,271.0,35.0
Naogaon,2018-19,1324.0,129.0
Natore,2018-19,1394.0,225.0
Chapai Nawabganj,2018-19,0.0,0.0
Pabna,2018-19,174.0,46.0
Rajshahi,2018-19,0.0,17.0
Sirajganj,2018-19,6.0,0.0
Rajshahi Division,2018-19,3241.0,462.0
Dinajpur,2018-19,1389.0,182.0
Gaibandha,2018-19,65.0,11.0
Kurigram,2018-19,0.0,0.0
Lalmonirhat,2018-19,202.0,19.0
Nilphamari,2018-19,466.0,21.0
Panchagarh,2018-19,8734.0,545.0
Rangpur,2018-19,187.0,21.0
Thakurgaon,2018-19,9146.0,545.0
Rangpur Divison,2018-19,20189.0,1344.0
Habiganj,2018-19,141.0,30.0
Maulvibazar,2018-19,208.0,48.0
Sunamganj,2018-19,815.0,122.0
Sylhet,2018-19,3160.0,600.0
Sylhet Division,2018-19,4324.0,800.0
Bhola,2020-21,59893.0,8541.0
Jhalokathi,2020-21,263.0,79.0
Patuakhali,2020-21,6174.0,1192.0
Pirojpur,2020-21,8827.0,918.0
Barishal Division,2020-21,83667.0,17044.0
Bandarban,2020-21,407.0,113.8
Brahmanbaria,2020-21,216.0,25.0
Chandpur,2020-21,63.0,0.95
Chattogram,2020-21,5247.0,1012.4
Cumilla,2020-21,339.0,82.3
Cox’s Bazar,2020-21,16418.0,1252.86
Feni,2020-21,193.0,34.0
Khagrachhari,2020-21,652.0,173.6
Lakshmipur,2020-21,1879.0,236.5
Noakhali,2020-21,19146.0,5392.5
Rangamati,2020-21,3649.0,725.08
Chattogram Division,2020-21,48209.0,9048.99
Dhaka,2020-21,78.0,11.0
Faridpur,2020-21,696.0,79.1
Gazipur,2020-21,31.0,5.05
Gopalganj,2020-21,11915.0,593.5
Kishoreganj,2020-21,148.0,33.72
Madaripur,2020-21,142.0,19.2
Manikganj,2020-21,0.0,0.0
Munshiganj,2020-21,50.0,5.55
Narayanganj,2020-21,494.0,74.0
Narsingdi,2020-21,0.0,0.0
Rajbari,2020-21,713.0,85.0
Shariatpur,2020-21,0.0,0.0
Tangail,2020-21,35.0,0.75
Dhaka Division,2020-21,14302.0,906.87
Bagerhat,2020-21,2667.0,329.5
Chuadanga,2020-21,4908.0,1316.5
Jessore,2020-21,203.0,49.0
Jhenaidah,2020-21,318.0,65.25
Khulna,2020-21,75762.0,25049.93
Kushtia,2020-21,181.0,20.0
Magura,2020-21,27.0,5.64
Meherpur,2020-21,210.0,109.0
Narail,2020-21,170.0,44.5
Satkhira,2020-21,695.0,148.7
Khulna Division,2020-21,85141.0,27138.02
Jamalpur,2020-21,683.0,56.0
Mymensinghh,2020-21,230.0,47.0
Netrokona,2020-21,379.0,63.0
Sherpur,2020-21,444.0,70.0
Mymensinghh Division,2020-21,1736.0,236.0
Bogura,2020-21,75.0,19.55
Joypurhat,2020-21,271.0,36.34
Naogaon,2020-21,888.0,122.1
Natore,2020-21,1264.0,724.71
Chapai Nawabganj,2020-21,0.0,0.0
Pabna,2020-21,159.0,58.0
Rajshahi,2020-21,91.0,0.17
Sirajganj,2020-21,0.0,0.0
Rajshahi Division,2020-21,2748.0,960.87
Dinajpur,2020-21,1356.0,182.0
Gaibandha,2020-21,38.0,16.0
Kurigram,2020-21,0.0,0.0
Lalmonirhat,2020-21,223.25,21.0
Nilphamari,2020-21,174.0,2.1
Panchagarh,2020-21,4587.0,535.0
Rangpur,2020-21,189.0,22.0
Thakurgaon,2020-21,8099.0,959.2
Rangpur Divison,2020-21,14666.25,1737.3
Habiganj,2020-21,113.0,25.0
Maulvibazar,2020-21,218.0,43.0
Sunamganj,2020-21,848.0,119.0
Sylhet,2020-21,3166.0,606.0
Sylhet Division,2020-21,4345.0,793.0
Bhola,2022-23,58519.0,8281.0
Jhalokathi,2022-23,354.0,73.0
Patuakhali,2022-23,2785.19,1270.13
Pirojpur,2022-23,6763.0,914.0
Bandarban,2022-23,414.5,114.8
Brahmanbaria,2022-23,206.75,27.0
Chandpur,2022-23,3.8,1.03
Chattogram,2022-23,6276.5,953.27
Cumilla,2022-23,339.0,87.75
Cox’s Bazar,2022-23,12860.05,1241.28
Feni,2022-23,123.3,280.9
Khagrachhari,2022-23,691.25,167.91
Lakshmipur,2022-23,1655.0,246.0
Noakhali,2022-23,36721.5,5750.0
Rangamati,2022-23,3616.04,730.2
Dhaka,2022-23,52.8,23.0
Faridpur,2022-23,624.25,79.5
Gazipur,2022-23,21.9,5.2
Gopalganj,2022-23,9456.09,435.64
Kishoreganj,2022-23,393.11,24.44
Madaripur,2022-23,156.3,18.94
Manikganj,2022-23,0.0,0.0
Munshiganj,2022-23,20.7,0.0
Narayanganj,2022-23,393.5,68.32
Narsingdi,2022-23,0.0,0.0
Rajbari,2022-23,693.0,83.5
Shariatpur,2022-23,0.0,0.0
Tangail,2022-23,10.02,2.35
Bagerhat,2022-23,3304.57,326.0
Chuadanga,2022-23,10429.5,233.3
Jessore,2022-23,222.9,49.8
Jhenaidah,2022-23,369.6,72.85
Khulna,2022-23,331876.56,25016.2
Kushtia,2022-23,119.0,8.0
Magura,2022-23,24.82,7.37
Meherpur,2022-23,1352.0,101.5
Narail,2022-23,145.54,53.3
Satkhira,2022-23,2290.33,171.64
Jamalpur,2022-23,474.0,81.5
Mymensinghh,2022-23,265.0,44.0
Netrokona,2022-23,425.0,63.98
Sherpur,2022-23,421.0,76.27
Bogura,2022-23,130.96,16.89
Joypurhat,2022-23,300.27,45.25
Naogaon,2022-23,1045.86,65.53
Natore,2022-23,6584.69,804.4
Chapai Nawabganj,2022-23,0.0,3.5
Pabna,2022-23,216.52,63.0
Rajshahi,2022-23,0.82,0.6
Sirajganj,2022-23,0.0,0.0
Dinajpur,2022-23,1400.85,170.0
Gaibandha,2022-23,57.3,19.0
Kurigram,2022-23,0.0,0.0
Lalmonirhat,2022-23,248.4,27.0
Nilphamari,2022-23,16.42,3.0
Panchagarh,2022-23,4834.8,543.0
Rangpur,2022-23,204.0,20.0
Thakurgaon,2022-23,8079.0,926.0
Habiganj,2022-23,110.41,35.0
Maulvibazar,2022-23,214.86,37.0
Sunamganj,2022-23,933.0,120.0
Sylhet,2022-23,2574.0,391.0
