District,Year,Hectares,Production_MT
Barguna,2016-17,0.0,0.0
Barguna,2017-18,30.0,30.0
Barishal,2016-17,0.0,0.0
Barishal,2017-18,590.0,590.0
Bhola,2016-17,0.0,0.0
Bhola,2017-18,218.0,218.0
Jhalokathi,2016-17,0.0,0.0
Jhalokathi,2017-18,60.0,60.0
Patuakhali,2016-17,0.0,0.0
Patuakhali,2017-18,482.0,482.0
Pirojpur,2016-17,0.0,0.0
Pirojpur,2017-18,64.0,64.0
Barishal,2016-17,0.0,0.0
Barishal,2017-18,1444.0,1444.0
Bandarban,2016-17,16.0,21.0
Bandarban,2017-18,144.0,163.0
Brahmanbaria,2016-17,0.0,0.0
Brahmanbaria,2017-18,298.0,298.0
Chandpur,2016-17,0.0,0.0
Chandpur,2017-18,342.0,342.0
Chattogram,2016-17,1.0,24.0
Chattogram,2017-18,1425.0,1437.0
Cumilla,2016-17,0.0,0.0
Cumilla,2017-18,661.0,661.0
Cox's Bazar,2016-17,0.0,0.0
Cox's Bazar,2017-18,88.0,91.0
Feni,2016-17,0.0,0.0
Feni,2017-18,84.0,84.0
Khagrachhari,2016-17,19.0,228.0
Khagrachhari,2017-18,861.0,1070.0
Lakshmipur,2016-17,0.0,0.0
Lakshmipur,2017-18,75.0,75.0
Noakhali,2016-17,0.0,0.0
Noakhali,2017-18,265.0,265.0
Rangamati,2016-17,17.0,68.0
Rangamati,2017-18,944.0,1008.0
Chattogram,2016-17,53.0,341.0
Chattogram,2017-18,5187.0,5494.0
Dhaka,2016-17,0.0,0.0
Dhaka,2017-18,221.0,221.0
Faridpur,2016-17,0.0,0.0
Faridpur,2017-18,692.0,692.0
Gazipur,2016-17,0.0,0.0
Gazipur,2017-18,662.0,662.0
Gopalganj,2016-17,9.0,8.0
Gopalganj,2017-18,488.0,496.0
Kishoreganj,2016-17,0.0,0.0
Kishoreganj,2017-18,1076.0,1076.0
Madaripur,2016-17,0.0,0.0
Madaripur,2017-18,424.0,424.0
Manikganj,2016-17,0.0,0.0
Manikganj,2017-18,258.0,258.0
Munshiganj,2016-17,0.0,0.0
Munshiganj,2017-18,137.0,137.0
Narayanganj,2016-17,0.0,0.0
Narayanganj,2017-18,146.0,146.0
Narsingdi,2016-17,0.0,0.0
Narsingdi,2017-18,603.0,603.0
Rajbari,2016-17,0.0,0.0
Rajbari,2017-18,219.0,219.0
Shariatpur,2016-17,0.0,0.0
Shariatpur,2017-18,446.0,446.0
Tangail,2016-17,0.0,0.0
Tangail,2017-18,605.0,605.0
Dhaka,2016-17,9.0,8.0
Dhaka,2017-18,5977.0,5985.0
Bagerhat,2016-17,0.0,0.0
Bagerhat,2017-18,226.0,226.0
Chuadanga,2016-17,0.0,0.0
Chuadanga,2017-18,241.0,241.0
Jessore,2016-17,0.0,0.0
Jessore,2017-18,909.0,909.0
Jhenaidah,2016-17,0.0,0.0
Jhenaidah,2017-18,410.0,410.0
Khulna,2016-17,0.0,0.0
Khulna,2017-18,555.0,555.0
Kushtia,2016-17,0.0,0.0
Kushtia,2017-18,1291.0,1291.0
Magura,2016-17,0.0,0.0
Magura,2017-18,1195.0,1195.0
Meherpur,2016-17,0.0,0.0
Meherpur,2017-18,130.0,130.0
Narail,2016-17,0.0,0.0
Narail,2017-18,303.0,303.0
Satkhira,2016-17,0.0,0.0
Satkhira,2017-18,628.0,628.0
Khulna,2016-17,0.0,0.0
Khulna,2017-18,5888.0,5888.0
Jamalpur,2016-17,0.0,0.0
Jamalpur,2017-18,529.0,529.0
Mymensingh,2016-17,0.0,0.0
Mymensingh,2017-18,1388.0,1388.0
Netrokona,2016-17,0.0,0.0
Netrokona,2017-18,446.0,446.0
Sherpur,2016-17,0.0,0.0
Sherpur,2017-18,323.0,323.0
Mymensingh,2016-17,0.0,0.0
Mymensingh,2017-18,2686.0,2686.0
Bogura,2016-17,0.0,0.0
Bogura,2017-18,836.0,836.0
Joypurhat,2016-17,0.0,0.0
Joypurhat,2017-18,166.0,166.0
Naogaon,2016-17,0.0,0.0
Naogaon,2017-18,566.0,566.0
Natore,2016-17,0.0,0.0
Natore,2017-18,1446.0,1446.0
Chapai Nawabganj,2016-17,0.0,0.0
Chapai Nawabganj,2017-18,193.0,193.0
Pabna,2016-17,0.0,0.0
Pabna,2017-18,942.0,942.0
Rajshahi,2016-17,0.0,0.0
Rajshahi,2017-18,471.0,471.0
Sirajganj,2016-17,0.0,0.0
Sirajganj,2017-18,410.0,410.0
Rajshahi,2016-17,0.0,0.0
Rajshahi,2017-18,5030.0,5030.0
Dinajpur,2016-17,0.0,0.0
Dinajpur,2017-18,203.0,203.0
Gaibandha,2016-17,0.0,0.0
Gaibandha,2017-18,68.0,68.0
Kurigram,2016-17,0.0,0.0
Kurigram,2017-18,168.0,168.0
Lalmonirhat,2016-17,0.0,0.0
Lalmonirhat,2017-18,197.0,197.0
Nilphamari,2016-17,0.0,0.0
Nilphamari,2017-18,168.0,168.0
Panchagarh,2016-17,0.0,0.0
Panchagarh,2017-18,166.0,166.0
Rangpur,2016-17,0.0,0.0
Rangpur,2017-18,180.0,180.0
Thakurgaon,2016-17,0.0,0.0
Thakurgaon,2017-18,53.0,53.0
Rangpur,2016-17,0.0,0.0
Rangpur,2017-18,1203.0,1203.0
Habiganj,2016-17,0.0,0.0
Habiganj,2017-18,57.0,57.0
Maulvibazar,2016-17,0.0,0.0
Maulvibazar,2017-18,67.0,67.0
Sunamganj,2016-17,0.0,0.0
Sunamganj,2017-18,30.0,30.0
Sylhet,2016-17,0.0,0.0
Sylhet,2017-18,31.0,31.0
Sylhet,2016-17,0.0,0.0
Sylhet,2017-18,185.0,185.0
Bangladesh,2016-17,62.0,349.0
Bangladesh,2017-18,27600.0,27915.0
Barguna,2020-21,80.38,0.0
Barguna,2021-22,72.0,72.0
